,0
97,https://podcast.scouting.org/scoutcast/2020/april-2020-finding-your-adventure/
98,https://podcast.scouting.org/scoutcast/2020/march-2020-how-venturing-can-help-not-hurt-your-troop/
99,https://podcast.scouting.org/scoutcast/2020/march-2020-how-venturing-can-help-not-hurt-your-troop/
100,https://media.blubrry.com/bsas_scoutcast/p/content.blubrry.com/bsas_scoutcast/scoutcast-2020-03_SC_Mar_Venturers_N_Scouts.mp3
101,https://media.blubrry.com/bsas_scoutcast/s/content.blubrry.com/bsas_scoutcast/scoutcast-2020-03_SC_Mar_Venturers_N_Scouts.mp3
102,https://podcast.scouting.org/category/scoutcast/feed/
103,https://podcast.scouting.org/subscribe-to-podcast/
104,https://podcast.scouting.org/scoutcast/2020/march-2020-how-venturing-can-help-not-hurt-your-troop/
105,https://podcast.scouting.org/scoutcast/2020/february-2020-cultivating-new-leaders/
106,https://podcast.scouting.org/scoutcast/2020/february-2020-cultivating-new-leaders/
107,https://media.blubrry.com/bsas_scoutcast/p/content.blubrry.com/bsas_scoutcast/scoutcast-2020-02_SC_Feb_NewLdrs.mp3
108,https://media.blubrry.com/bsas_scoutcast/s/content.blubrry.com/bsas_scoutcast/scoutcast-2020-02_SC_Feb_NewLdrs.mp3
109,https://podcast.scouting.org/category/scoutcast/feed/
110,https://podcast.scouting.org/subscribe-to-podcast/
111,https://podcast.scouting.org/scoutcast/2020/february-2020-cultivating-new-leaders/
112,https://podcast.scouting.org/scoutcast/2019/january-2020-what-is-a-cor/
113,https://podcast.scouting.org/scoutcast/2019/january-2020-what-is-a-cor/
114,https://media.blubrry.com/bsas_scoutcast/p/content.blubrry.com/bsas_scoutcast/scoutcast-2020-01_SC_Jan_COR.mp3
115,https://media.blubrry.com/bsas_scoutcast/s/content.blubrry.com/bsas_scoutcast/scoutcast-2020-01_SC_Jan_COR.mp3
116,https://podcast.scouting.org/category/scoutcast/feed/
117,https://podcast.scouting.org/subscribe-to-podcast/
118,https://podcast.scouting.org/scoutcast/2019/january-2020-what-is-a-cor/
119,https://podcast.scouting.org/scoutcast/2019/december-2019-the-merit-badge-process-dont-cut-corners/
120,https://podcast.scouting.org/scoutcast/2019/december-2019-the-merit-badge-process-dont-cut-corners/
121,https://media.blubrry.com/bsas_scoutcast/p/content.blubrry.com/bsas_scoutcast/scoutcast-2019-12_SC_Dec_MBProcess.mp3
122,https://media.blubrry.com/bsas_scoutcast/s/content.blubrry.com/bsas_scoutcast/scoutcast-2019-12_SC_Dec_MBProcess.mp3
123,https://podcast.scouting.org/category/scoutcast/feed/
124,https://podcast.scouting.org/subscribe-to-podcast/
125,https://podcast.scouting.org/scoutcast/2019/december-2019-the-merit-badge-process-dont-cut-corners/
126,https://podcast.scouting.org/scoutcast/2019/november-2019-winter-camping-why-you-should-brave-the-cold/
127,https://podcast.scouting.org/scoutcast/2019/november-2019-winter-camping-why-you-should-brave-the-cold/
128,https://media.blubrry.com/bsas_scoutcast/p/content.blubrry.com/bsas_scoutcast/scoutcast-2019-11_SC_Nov_WinterCamp.mp3
129,https://media.blubrry.com/bsas_scoutcast/s/content.blubrry.com/bsas_scoutcast/scoutcast-2019-11_SC_Nov_WinterCamp.mp3
130,https://podcast.scouting.org/category/scoutcast/feed/
131,https://podcast.scouting.org/subscribe-to-podcast/
